path,source,language,If_CAM,labels,Instance,Identify Result
Dsub\crawl\C_code\189aes_ecb.c,github,c,1,ECB used,1,result/identify-2025-02-19 170024.json
Dsub\crawl\C_code\189aes_ige.c,github,c,1,Non-stanard mode,1,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189asn_mime.c,github,c,1,sha1 used;md5 used,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\189bf_cfb64.c,github,c,1,Blowfish used;CFB without authentication,1,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189bf_ecb.c,github,c,1,Blowfish used;ECB used,1,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189bf_enc.c,github,c,1,Blowfish used,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\189bf_nbio.c,github,c,1,Blowfish used,1,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189bf_ofb64.c,github,c,1,Blowfish used;Insecure mode of operation (OFB),2,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189bf_skey.c,github,c,1,Blowfish used,1,result/identify-2025-02-20 101307.json
Dsub\crawl\C_code\189bio_enc.c,github,c,1,Use of deprecated function,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\189bn_depr.c,github,c,1,Use of deprecated function,3,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\189bn_dh.c,github,c,1,Use of weak DH group,0,
Dsub\crawl\C_code\189ciphers.c,github,c,1,Insecure SSL/TLS version used,3,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\189c_allc.c,github,c,1,DES used;ECB used;RC4 used;RC2 used;Blowfish used;RC5 used;IDEA used;CAST used,5,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\438transform_aes.c,github,c,1,ECB used,-1,
Dsub\crawl\C_code\438transform_cc20.c,github,c,1,Inadequate Key Derivation Method,2,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\510asn1_afl.c,github,c,1,Use of deprecated function,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\510asn1_sydr.c,github,c,1,Use of deprecated cryptographic function,-1,
Dsub\crawl\C_code\510bignum_afl.c,github,c,1,Use of BN_mod_exp_simple function,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\510client_afl.c,github,c,1,Insecure SSL/TLS version used;Allow all ciphersuits,2,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\510client_sydr.c,github,c,1,Insecure SSL/TLS version used;Allow all ciphersuits,2,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\510fuzz_verify_cert.c,github,c,1,Insecure OpenSSL initialization;;Insufficient certificate validation,2,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\57048be-secure-openssl.c,github,c,1,Insecure SSL/TLS version used,-1,
Dsub\crawl\C_code\57048cryptohash_openssl.c,github,c,1,MD5 used; SHA1 used,2,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\57048hmac_openssl.c,github,c,1,MD5 used; SHA1 used,1,result/identify-2025-02-20 112030.json
Dsub\crawl\C_code\57048openssl.c,github,c,1,Blowfish used;ECB used;DES used,-1,
Dsub\crawl\C_code\57048pg_strong_random.c,github,c,1,Insufficient RAND_poll usage for old OpenSSL versions,-1,
Dsub\crawl\C_code\PBKDF2_1000.c,github,c,1,Hardcoded passwords;Iteration lower than 10000 in PBKDF2,-1,
Dsub\crawl\C_code\PBKDF2_Salt.c,github,c,1,Hardcoded passwords;Iteration lower than 10000 in PBKDF2;Insufficient salt length,-1,
Dsub\crawl\C_code\PBKDF2_StaticSalt.c,github,c,1,Static salt;Insufficient salt length;Hardcoded password,-1,
Dsub\crawl\C_code\Random.c,github,c,1,Static seed,-1,
Dsub\crawl\C_code\RC2_ECB.c,github,c,1,Hardcoded key;RC2 used;ECB used;Insufficient key size,-1,
Dsub\crawl\nomisuses\C\189aes_cbc.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189aes_misc.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189aes_ofb.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189aes_x86core.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189app_rand.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189asn1_par.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189asn_moid.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189asn_mstbl.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189asn_pack.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189async.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189async_err.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189async_wait.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_d2i_fp.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_digest.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_dup.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_gentm.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_i2d_fp.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_int.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_mbstr.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_object.c,github,c,0,,-1,
Dsub\crawl\nomisuses\C\189a_octet.c,github,c,0,,-1,
